CO2 (g/s),CO (g/s),HC (g/s),NOx (g/s),vel (mph),fuel (g/s),engine (rpm),elevation (m),phase_num
2.032161,0.005708,0.000943,0.05568,0,0.987,650.725,281.42,1
2.285908,0.009234,0.001064,0.069082,0,0.9644,650.35,281.4,1
2.485289,0.012449,0.001154,0.0738,0,0.9482,649.3,281.31,1
2.614014,0.015358,0.001223,0.076186,0,0.9416,651.575,281.3,1
2.72064,0.016987,0.001269,0.077599,0,0.968,649.5,281.3,1
2.770206,0.017995,0.001305,0.076309,0,0.948,649.675,281.3,1
2.817229,0.018481,0.001337,0.075803,0,0.9576,650.225,281.3,1
2.832236,0.019003,0.001359,0.076228,0,0.9378,650.7,281.3,1
2.869058,0.019251,0.001389,0.076806,0,0.9213,648.5,281.39,1
2.889686,0.019198,0.001412,0.076976,0,0.9398,650.825,281.4,1
2.876876,0.019147,0.001416,0.077029,0,0.9312,649.975,281.76,1
2.906558,0.018949,0.001428,0.078255,0,0.9477,650.275,281.8,1
2.916017,0.018282,0.00145,0.077956,0,0.9428,650.775,282.34,1
2.880495,0.018293,0.001461,0.077022,0,0.9251,649.4,282.4,1
2.878208,0.018034,0.00148,0.078441,0,0.9329,650.1,283.03,1
2.875122,0.018019,0.001493,0.078098,0,0.899,649.575,283.1,1
2.861332,0.017792,0.001498,0.076896,0,0.912,650.425,283.64,1
2.865017,0.017106,0.001497,0.075363,0,0.9315,650.325,283.7,1
2.866634,0.016799,0.001522,0.075389,0,0.9235,649,284.24,1
2.854612,0.016782,0.001533,0.077403,0,0.9218,649.575,284.3,1
2.844506,0.016245,0.001517,0.078397,0,0.9185,650.775,284.66,1
2.863143,0.016152,0.00153,0.075838,0,0.9152,649.925,284.7,1
2.865948,0.016157,0.00155,0.075902,0,0.9056,649.925,284.79,1
2.833055,0.016105,0.001567,0.076548,0,0.9105,650.3,284.8,1
2.829322,0.015527,0.001582,0.077291,0,0.9154,650.275,284.08,1
2.846944,0.015434,0.001578,0.077397,0,0.9154,649.375,284,1
2.861104,0.01545,0.00159,0.076401,0,0.9105,650.775,283.64,1
2.871333,0.015181,0.001609,0.076709,0,0.9005,649.5,283.6,1
2.824703,0.015028,0.001604,0.0774,0,0.8988,650.55,283.6,1
2.81198,0.015048,0.001605,0.076959,0,0.8935,650.7,283.6,1
2.822307,0.015034,0.001638,0.076033,0,0.8984,650.45,283.51,1
2.800158,0.014413,0.001644,0.075551,0,0.8984,649.35,283.5,1
2.779845,0.014236,0.001657,0.075401,0,0.8935,649.375,283.5,1
2.79018,0.014166,0.001661,0.075454,0,0.8886,650.5,283.5,1
2.796149,0.014133,0.001656,0.074909,0,0.9033,649.75,283.41,1
2.816801,0.013406,0.001657,0.074872,0,0.8935,650.35,283.4,1
2.820873,0.013343,0.001669,0.075455,0,0.8987,650.375,283.31,1
2.803779,0.013438,0.001677,0.077414,0,0.8822,649.65,283.3,1
2.774979,0.013465,0.001678,0.076003,0,0.8855,649.675,283.66,1
2.774853,0.013513,0.001691,0.075909,0,0.8888,649.65,283.7,1
2.768566,0.013531,0.001693,0.076529,0,0.8888,650.025,284.33,1
2.768116,0.013424,0.0017,0.074829,0,0.8855,650.5,284.4,1
2.778701,0.013204,0.0017,0.073903,0,0.887,649.625,285.12,1
2.782576,0.013184,0.001712,0.075564,0,0.8774,649.975,285.2,1
2.775531,0.01312,0.001724,0.076446,0,0.8873,650.525,285.74,1
2.77292,0.013105,0.001735,0.075286,0,0.8824,649.15,285.8,1
2.77285,0.013121,0.001744,0.07547,0,0.892,649.625,286.34,1
2.76485,0.01296,0.001744,0.075205,0,0.8775,650.05,286.4,1
2.765019,0.012718,0.001745,0.075189,0,0.8822,650.175,286.94,1
2.772017,0.012636,0.00176,0.075859,0,0.8624,648.925,287,1
2.748492,0.012638,0.00175,0.074708,0,0.8855,650.5,287.36,1
2.739802,0.0126,0.001757,0.073679,0,0.8792,648.85,287.4,1
2.755918,0.012541,0.001748,0.075063,0,0.8951,651.25,287.67,1
2.753402,0.012421,0.001723,0.073687,0,0.861,650.625,287.7,1
2.765556,0.012147,0.001726,0.07325,0,0.871,649.175,288.15,1
2.76748,0.012065,0.001728,0.073729,0,0.8759,650.8,288.2,1
2.748298,0.012117,0.001738,0.074213,0,0.8695,649.75,288.65,1
2.761326,0.012136,0.001741,0.075167,0,0.8677,650.35,288.7,1
